Philippines,57,43,1.33,1.00,1,0.75187969924812
Colombia,53,47,1.13,1.00,1,0.884955752212389
Fiji,51,49,1.04,1.00,1,0.961538461538461
Ghana,50,50,1.00,1.00,1,1
Barbados,48,51,0.95,0.95,5,0.95
Panama,47,53,0.90,0.90,6,0.9
Belarus,46,54,0.86,0.86,7,0.86
Bahamas,44,56,0.79,0.79,8,0.79
Latvia,44,56,0.79,0.79,9,0.79
"Trinidad and Tobago",44,56,0.77,0.77,10,0.77
"El Salvador",44,56,0.77,0.77,11,0.77
"United States",43,57,0.77,0.77,12,0.77
Moldova,43,57,0.75,0.75,13,0.75
Namibia,43,58,0.75,0.75,14,0.75
Mongolia,42,58,0.72,0.72,15,0.72
Belize,41,59,0.71,0.71,16,0.71
Nicaragua,41,59,0.70,0.70,17,0.7
Honduras,41,59,0.68,0.68,18,0.68
"New Zealand",40,60,0.67,0.67,19,0.67
Hungary,40,60,0.66,0.66,20,0.66
Poland,39,61,0.63,0.63,21,0.63
Botswana,39,61,0.63,0.63,22,0.63
Thailand,39,61,0.63,0.63,23,0.63
Lithuania,39,61,0.63,0.63,24,0.63
"Russian Federation",38,62,0.62,0.62,25,0.62
Kazakhstan,38,62,0.62,0.62,26,0.62
Ukraine,38,62,0.62,0.62,27,0.62
Cuba,38,62,0.62,0.62,28,0.62
Slovenia,38,63,0.60,0.60,29,0.6
Brazil,37,63,0.60,0.60,30,0.6
Sweden,37,63,0.59,0.59,31,0.59
Iceland,37,63,0.59,0.59,32,0.59
"Dominican Republic",37,63,0.59,0.59,33,0.59
Bulgaria,37,63,0.58,0.58,34,0.58
"Costa Rica",36,64,0.57,0.57,35,0.57
Australia,36,64,0.56,0.56,36,0.56
Lesotho,36,65,0.56,0.56,37,0.56
"Gambia, The*",38,67,0.56,0.56,38,0.56
Ecuador,36,64,0.56,0.56,39,0.56
Canada,36,64,0.56,0.56,40,0.56
Mexico,36,64,0.56,0.56,41,0.56
Suriname,36,64,0.56,0.56,42,0.56
Norway,36,64,0.55,0.55,43,0.55
"United Kingdom",35,65,0.55,0.55,44,0.55
Portugal,35,65,0.54,0.54,45,0.54
Bolivia,35,65,0.54,0.54,46,0.54
Guatemala,34,66,0.52,0.52,47,0.52
"Brunei Darussalam",34,66,0.52,0.52,48,0.52
Georgia,34,66,0.51,0.51,49,0.51
Switzerland,34,66,0.51,0.51,50,0.51
Ireland,34,66,0.51,0.51,51,0.51
Paraguay,34,66,0.51,0.51,52,0.51
Rwanda,34,66,0.51,0.51,53,0.51
Singapore,34,66,0.51,0.51,54,0.51
Finland,34,66,0.51,0.51,55,0.51
Azerbaijan,33,67,0.49,0.49,56,0.49
France,33,67,0.48,0.48,57,0.48
Israel,33,67,0.48,0.48,58,0.48
Estonia,33,67,0.48,0.48,59,0.48
Armenia,32,68,0.46,0.46,60,0.46
Belgium,32,68,0.46,0.46,61,0.46
Romania,32,68,0.46,0.46,62,0.46
Serbia,31,69,0.46,0.46,63,0.46
Argentina,31,69,0.45,0.45,64,0.45
Uruguay,31,69,0.45,0.45,65,0.45
Spain,31,69,0.45,0.45,66,0.45
Venezuela,31,69,0.44,0.44,67,0.44
Austria,30,70,0.43,0.43,68,0.43
"South Africa",30,70,0.43,0.43,69,0.43
"Slovak Republic",30,70,0.43,0.43,70,0.43
Peru,30,70,0.42,0.42,71,0.42
Chile,29,71,0.42,0.42,72,0.42
Germany,29,71,0.41,0.41,73,0.41
"Macedonia, FYR",29,71,0.41,0.41,74,0.41
Greece,28,72,0.39,0.39,75,0.39
"Czech Republic",28,72,0.39,0.39,76,0.39
"Kyrgyz Republic",28,73,0.38,0.38,77,0.38
Montenegro,27,74,0.37,0.37,78,0.37
Italy,27,73,0.36,0.36,79,0.36
Ethiopia,27,73,0.36,0.36,80,0.36
Denmark,26,74,0.36,0.36,81,0.36
Guyana,26,75,0.35,0.35,82,0.35
Malta,26,74,0.35,0.35,83,0.35
Netherlands,26,74,0.34,0.34,84,0.34
Uganda,25,75,0.34,0.34,85,0.34
Madagascar,25,75,0.33,0.33,86,0.33
Vietnam,24,76,0.32,0.32,87,0.32
"Sri Lanka",24,76,0.32,0.32,88,0.32
Guinea,24,75,0.31,0.31,89,0.31
Mauritius,23,77,0.31,0.31,90,0.31
Indonesia,23,77,0.30,0.30,91,0.3
Croatia,23,77,0.30,0.30,92,0.3
Albania,23,78,0.29,0.29,93,0.29
Luxembourg,22,76,0.29,0.29,94,0.29
Malaysia,22,78,0.28,0.28,95,0.28
Liberia,21,79,0.27,0.27,96,0.27
Zimbabwe,21,80,0.26,0.26,97,0.26
Zambia,19,81,0.23,0.23,98,0.23
Nepal,18,82,0.22,0.22,99,0.22
Cambodia,18,82,0.22,0.22,100,0.22
Cyprus,17,83,0.21,0.21,101,0.21
Bhutan,17,83,0.20,0.20,102,0.2
China,17,83,0.20,0.20,103,0.2
Tanzania,16,83,0.20,0.20,104,0.2
Tunisia,15,85,0.17,0.17,105,0.17
"Iran, Islamic Rep.",15,85,0.17,0.17,106,0.17
Kuwait,14,86,0.16,0.16,107,0.16
Maldives,13,87,0.15,0.15,108,0.15
Turkey,13,87,0.15,0.15,109,0.15
Morocco,13,87,0.15,0.15,110,0.15
Bahrain,13,88,0.14,0.14,111,0.14
Qatar,12,88,0.14,0.14,112,0.14
"Korea, Rep.",11,89,0.12,0.12,113,0.12
Algeria,11,89,0.12,0.12,114,0.12
"United Arab Emirates",10,90,0.11,0.11,115,0.11
Japan,9,91,0.10,0.10,116,0.1
Syria,9,91,0.10,0.10,117,0.1
Oman,9,91,0.10,0.10,118,0.1
Lebanon,8,92,0.09,0.09,119,0.09
Jordan,8,92,0.09,0.09,120,0.09
Egypt,7,93,0.08,0.08,121,0.08
"Saudi Arabia",7,93,0.07,0.07,122,0.07
Bangladesh,5,95,0.06,0.06,123,0.06
Pakistan,3,97,0.03,0.03,124,0.03
Yemen,2,98,0.02,0.02,125,0.02
Angola,"—","—","—","—","—","—"
Benin*,"—","—","—","—","—","—"
"Burkina Faso","—","—","—","—","—","—"
Burundi,"—","—","—","—","—","—"
Cameroon*,"—","—","—","—","—","—"
