Rwanda,64,36,1.76,1.00,1,0.568181818181818
Bolivia,53,47,1.13,1.00,1,0.884955752212389
Cuba,49,51,0.96,0.96,3,0.96
Sweden,44,56,0.77,0.77,4,0.77
Senegal,43,57,0.74,0.74,5,0.74
Mexico,42,58,0.74,0.74,6,0.74
"South Africa",42,58,0.72,0.72,7,0.72
Ecuador,42,58,0.71,0.71,8,0.71
Finland,42,59,0.71,0.71,9,0.71
Namibia,41,59,0.70,0.70,10,0.7
Nicaragua,41,59,0.70,0.70,11,0.7
Iceland,41,59,0.70,0.70,12,0.7
Spain,41,59,0.70,0.70,13,0.7
Norway,40,60,0.66,0.66,14,0.66
Mozambique,40,60,0.66,0.66,15,0.66
Belgium,39,61,0.65,0.65,16,0.65
Ethiopia,39,61,0.63,0.63,17,0.63
Denmark,37,63,0.60,0.60,18,0.6
Netherlands,37,63,0.60,0.60,19,0.6
Angola,37,63,0.58,0.58,20,0.58
Slovenia,37,63,0.58,0.58,21,0.58
Germany,36,64,0.57,0.57,22,0.57
Burundi,36,64,0.57,0.57,23,0.57
Argentina,36,64,0.57,0.57,24,0.57
Tanzania,36,64,0.56,0.56,25,0.56
Uganda,35,65,0.54,0.54,26,0.54
Serbia,34,66,0.52,0.52,27,0.52
"Costa Rica",33,67,0.50,0.50,28,0.5
"Macedonia, FYR",33,67,0.50,0.50,28,0.5
"El Salvador",32,68,0.47,0.47,30,0.47
Algeria,32,68,0.46,0.46,31,0.46
Zimbabwe,31,69,0.46,0.46,32,0.46
"New Zealand",31,69,0.46,0.46,33,0.46
Tunisia,31,69,0.46,0.46,34,0.46
Portugal,31,69,0.46,0.46,35,0.46
Cameroon*,31,69,0.45,0.45,36,0.45
Italy,31,69,0.45,0.45,37,0.45
Austria,31,69,0.44,0.44,38,0.44
Switzerland,31,70,0.44,0.44,39,0.44
Guyana,30,70,0.44,0.44,40,0.44
Nepal,30,70,0.42,0.42,41,0.42
"United Kingdom",29,71,0.42,0.42,42,0.42
"Trinidad and Tobago",29,71,0.40,0.40,43,0.4
Luxembourg,28,72,0.40,0.40,44,0.4
Belarus,27,73,0.38,0.38,45,0.38
Philippines,27,73,0.37,0.37,46,0.37
Australia,27,73,0.36,0.36,47,0.36
France,26,74,0.35,0.35,48,0.35
