Iceland,1,0.881,5,0.836,1,1.000,105,0.970,1,0.719
Norway,2,0.850,1,0.868,32,1.000,70,0.974,3,0.559
Finland,3,0.850,8,0.815,1,1.000,1,0.980,2,0.607
Sweden,4,0.823,4,0.836,54,0.996,71,0.974,5,0.486
Ireland,5,0.807,26,0.777,44,0.998,56,0.979,6,0.474
Rwanda,6,0.794,14,0.808,112,0.944,91,0.972,7,0.452
Philippines,7,0.790,16,0.799,34,1.000,1,0.980,17,0.382
Switzerland,8,0.785,17,0.798,69,0.993,74,0.974,18,0.376
Slovenia,9,0.784,24,0.778,29,1.000,79,0.973,16,0.385
"New Zealand",10,0.782,30,0.768,1,1.000,105,0.970,15,0.390
Germany,11,0.779,38,0.737,88,0.987,56,0.979,11,0.413
Nicaragua,12,0.776,100,0.619,1,1.000,1,0.980,4,0.506
Netherlands,13,0.776,39,0.732,1,1.000,104,0.970,13,0.401
Denmark,14,0.767,20,0.788,1,1.000,107,0.970,29,0.309
France,15,0.761,56,0.699,1,1.000,1,0.980,19,0.365
Namibia,16,0.760,27,0.775,1,1.000,1,0.980,33,0.287
"South Africa",17,0.759,72,0.670,85,0.987,1,0.980,14,0.400
"United Kingdom",18,0.758,43,0.724,37,1.000,66,0.974,23,0.335
Belgium,19,0.753,34,0.762,1,1.000,66,0.974,35,0.275
Latvia,20,0.752,21,0.784,1,1.000,1,0.980,40,0.246
Estonia,21,0.749,47,0.711,39,0.999,1,0.980,30,0.308
Bolivia,22,0.749,96,0.634,101,0.967,1,0.980,10,0.415
Burundi,23,0.748,3,0.845,131,0.857,68,0.974,28,0.314
Barbados,24,0.744,2,0.848,46,0.998,1,0.980,77,0.150
Spain,25,0.742,67,0.674,47,0.998,93,0.972,26,0.326
Moldova,26,0.742,18,0.797,50,0.996,42,0.979,58,0.195
Mozambique,27,0.741,29,0.773,129,0.860,114,0.968,21,0.361
"United States",28,0.740,6,0.826,40,0.999,64,0.975,72,0.162
Cuba,29,0.740,119,0.579,26,1.000,63,0.975,12,0.407
Canada,30,0.740,28,0.773,1,1.000,109,0.969,46,0.218
Lithuania,31,0.740,35,0.759,66,0.994,42,0.979,45,0.227
Luxembourg,32,0.738,31,0.766,1,1.000,71,0.974,53,0.212
Ecuador,33,0.738,66,0.677,53,0.996,1,0.980,31,0.297
Belarus,34,0.734,10,0.813,33,1.000,42,0.979,79,0.146
Argentina,35,0.734,105,0.615,55,0.996,1,0.980,22,0.347
Australia,36,0.733,32,0.766,1,1.000,74,0.974,61,0.193
Austria,37,0.733,52,0.705,1,1.000,1,0.980,39,0.246
"Costa Rica",38,0.732,118,0.587,1,1.000,64,0.975,20,0.365
Portugal,39,0.731,46,0.712,60,0.995,79,0.973,41,0.244
Bahamas,40,0.728,7,0.823,1,1.000,1,0.980,98,0.110
Italy,41,0.726,111,0.603,58,0.995,74,0.974,24,0.331
Colombia,42,0.725,37,0.746,61,0.994,42,0.979,64,0.180
